event_type,attack_type,event_date,month,day,year,admin1,location,fatalities,sole_perpatrator_classification,extremist_beliefs_classification,connection_to_organized_extremist_group_classification,issue_type,motive,source,source_scale,major_media,notes
VIOLENCE AGAINST CIVILIANS,ARSON,2024-04-05,4,5,2024,VERMONT,BURLINGTON,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,VTDIGGER,SUBNATIONAL,NO,"ON 5 APRIL 2024, A MAN ENTERED A VESTIBULE, SPRAYED WHAT IS REPORTED TO BE AN 'ACCELERANT' ON THE DOOR OF U.S. SEN. BERNIE SANDERS' OFFICE AND SET IT ON FIRE IN BURLINGTON (VERMONT) WHILE STAFF WAS INSIDE. THE STAFF WERE SAFELY EVACUATED AND THE BUILDING SUFFERED WATER DAMAGES FROM THE SPRINKLER SYSTEM. NOBODY SUFFERED ANY INJURIES."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2024-07-13,7,13,2024,PENNSYLVANIA,BUTLER,2,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,6ABC; ABC11; AP; CBS 21 (HARRISBURG); CBS NEWS; CITIZENS' VOICE; CNN; FOX29; FOX45 (BALTIMORE); FOX56 (HAZLETON); LIVE 5 (CHARLESTON); LIVEUAMAP; NBC4 (WASHINGTON D.C.); NEW YORK TIMES; NPR; PATRIOT-NEWS; PITTSBURGH POST-GAZETTE; TRIBLIVE; USA TODAY; WASHINGTON POST; WBAL-TV 11; WFMY; WMAR2; WUSA9,LOCAL PARTNER-NEW MEDIA,YES,"ON 13 JULY 2024, A MAN SHOT FORMER PRESIDENT DONALD TRUMP IN THE EAR AT A CAMPAIGN RALLY IN BUTLER (PENNSYLVANIA), FIRING SEVERAL ADDITIONAL SHOTS INTO A CROWD GATHERED BEHIND HIM. SECRET SERVICE SNIPERS RETURNED FIRE, SHOOTING AND KILLING THE GUNMAN. ONE SPECTATOR WAS KILLED AND TWO WERE CRITICALLY INJURED AND TAKEN TO A HOSPITAL. TRUMP WAS EVACUATED FROM THE SITE, AND HIS RIGHT EAR WAS PIERCED BY A BULLET AND WAS EXAMINED AT A HOSPITAL, BUT HE SUFFERED NO ADDITIONAL INJURIES. THE GUNMAN FIRED 8 SHOTS FROM THE ROOF OF A BUILDING OUTSIDE OF THE EVENT VENUE, 150 METERS FROM THE STAGE WHERE TRUMP WAS SPEAKING, USING AN AR-STYLE RIFLE. JUST BEFORE HE BEGAN SHOOTING, A POLICE OFFICER CLIMBED UP TO HIS PERCH TO CONFRONT HIM, THEN DROPPED TO THE GROUND WHEN THE GUNMAN AIMED HIS RIFLE AT THE OFFICER. THE SHOOTING BEGAN MOMENTS LATER. BEFORE THE EVENT, LAW ENFORCEMENT HAD NOTICED THE GUNMAN PACING AND SAW HIM CLIMB ONTO THE ROOF. VIDEO FOOTAGE ALSO SHOWS THAT A GROUP OF PEOPLE GATHERED OUTSIDE THE PERIMETER OF THE RALLY ALSO NOTICED THE GUNMAN IN THE MOMENTS BEFORE HE BEGAN SHOOTING. THE FBI DID NOT IMMEDIATELY FIND ANY CLEAR IDEOLOGICAL MOTIVATION FOR THE GUNMAN'S ATTEMPTED ASSASSINATION, AND LATER INVESTIGATION SHOWED THAT HE RESEARCHED MANY EVENTS AND SAW THE TRUMP RALLY AS A 'TARGET OF OPPORTUNITY' RATHER THAN HAVING A CLEAR POLITICAL MOTIVE. HE WAS 20 YEARS OLD, AND THOUGH HE WAS A REGISTERED REPUBLICAN, HE HAD GIVEN $15 TO A PROGRESSIVE POLITICAL ACTION BEFORE HE WAS OF VOTING AGE. HE HAD NO PREVIOUS CRIMINAL HISTORY. THE GUN WAS REGISTERED TO HIS FATHER AND THE GUNMAN PURCHASED AMMUNITION THE MORNING OF THE SHOOTING. SEARCHES OF HIS PHONES AND COMPUTER SHOWED SAVED IMAGES OF SEVERAL GOVERNMENT OFFICIALS AND SEARCHES FOR DATES OF TRUMP SPEAKING EVENTS AND THE DEMOCRATIC NATIONAL CONVENTION AS WELL AS SEARCHES FOR 'MAJOR DEPRESSIVE DISORDER' AND INFORMATION ABOUT A MICHIGAN SCHOOL SHOOTER. THE GUNMAN WAS WEARING A SHIRT FROM A YOUTUBE CHANNEL THAT FOCUSES ON FIREARMS AT THE TIME OF THE ATTEMPTED ASSASSINATION. THE PARENTS OF THE GUNMAN CALLED POLICE BEFORE THE SHOOTING BECAUSE THEY WERE 'CONCERNED FOR HIS WELFARE.' THE SAME DAY, THE FBI DEFUSED SEVERAL HOMEMADE EXPLOSIVE DEVICES AT THE HOME AND IN THE VEHICLE OF THE 20-YEAR-OLD MAN IN BETHEL PARK. THE SHOOTING IS BEING INVESTIGATED AS AN ASSASSINATION ATTEMPT AND ACT OF 'DOMESTIC TERRORISM.'"
VIOLENCE AGAINST CIVILIANS,SHOOTING,2024-08-11,8,11,2024,CALIFORNIA,WEST SACRAMENTO,0,NO,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,LOS ANGELES TIMES,SUBNATIONAL,NO,"ON 11 AUGUST 2024, UNIDENTIFIED PERPETRATOR(S) FIRED AT A VEHICLE TRANSPORTING A SIKH SEPARATIST ADVOCATE ON INTERSTATE 505 NEAR WEST SACRAMENTO (CALIFORNIA). THERE WERE NO REPORTED INJURIES BUT AT LEAST SIX BULLETS HIT THE CAR. THE SIKH WAS A LEADER OF SIKHS FOR JUSTICE, WHO CLAIMED IT WAS A POLITICALLY MOTIVATED ATTACK."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2024-12-04,12,4,2024,NEW YORK,NEW YORK - MANHATTAN,1,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,1010WINS; 10NBC; 13WHAM ABC; 7 ABC; ABC NEWS; ABC6 (NEW BEDFORD); ABC7 (NEW YORK); AP; BERGEN RECORD; BOSTON GLOBE; BOSTON.COM; BUSINESS JOURNALS; CBS NEWS; CNN; CONNECTICUT POST; FOX BUSINESS; FOX PROVIDENCE; FOX5 (NEW YORK); HILL; JOURNAL NEWS; MY CENTRAL JERSEY; NBC10 BOSTON; NEW YORK POST; NEW YORK TIMES; NEWS12 (BROOKLYN); NEWS12 (LONG ISLAND); NPR; PATRIOT LEDGER; SENTINEL & ENTERPRISE; USA TODAY; WASHINGTON POST; WBNG12; WETM18; WHDH CHANNEL 7; WICKED LOCAL; YAHOO NEWS,SUBNATIONAL-NATIONAL,YES,"ON 4 DECEMBER 2024, A MAN APPROACHED THE CEO OF UNITEDHEALTHCARE FROM BEHIND AND SHOT HIM AT LEAST ONCE IN THE BACK AND ONCE IN THE RIGHT CALF OUTSIDE THE HILTON MIDTOWN IN NEW YORK - MANHATTAN (NEW YORK) IN WHAT POLICE DESCRIBED AS A CAREFULLY PREMEDITATED AND TARGETED ATTACK. THE VICTIM WAS TAKEN TO MOUNT SINAI WEST IN CRITICAL CONDITION, WHERE HE DIED. THE SHELL CASINGS AND LIVE ROUNDS ON THE SCENE HAD THE WORDS 'DENY,' 'DEPOSE,' 'DELAY,' AND 'DEFEND' ENGRAVED ON THEM. ACCORDING TO THE ASSOCIATED PRESS THE WORDS REFER TO INSURERS 'DELAYING PAYMENT ON CLAIMS, DENYING CLAIMS AND DEFENDING THEIR ACTIONS.' THE PERPETRATOR WAS CHARGED WITH MURDER AS AN ACT OF TERRORISM. 1 FATALITY."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2025-06-14,6,14,2025,MINNESOTA,BROOKLYN PARK,2,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,AP; CBS NEWS; NEW YORK TIMES,NATIONAL-INTERNATIONAL,YES,"ON 14 JUNE 2025, A MAN, IMPERSONATING A POLICE OFFICER, SHOT AND KILLED US STATE REPRESENTATIVE MELISSA HORTMAN (DFL) AND HER HUSBAND IN THEIR HOME IN BROOKLYN PARK (MINNESOTA) IN A TARGETED ATTACK. THE SUSPECT ALSO SHOT AND WOUNDED STATE SENATOR JOHN A. HOFFMAN AND HIS WIFE IN CHAMPLIN, MINNESOTA EARLIER IN THE DAY (CODED SEPARATELY). THE PERPETRATOR ALSO TRAVELLED TO TWO OTHER STATE LEVEL ELECTED OFFICIALS' HOMES BUT DID NOT MAKE CONTACT WITH THEM. POLICE RETRIEVED FROM THE SUSPECT'S VEHICLE A LIST OF ABOUT 70 OTHER LAWMAKERS AND COMMUNITY LEADERS AND THEIR HOME ADDRESSES AND PAMPHLETS REFERENCING THE NO KINGS PROTESTS OCCURRING NATIONWIDE ON THE SAME DAY. HE HAS BEEN CHARGED WITH TWO COUNTS OF SECOND-DEGREE MURDER AND TWO COUNTS OF ATTEMPTED SECOND-DEGREE MURDER. 2 FATALITIES."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2025-06-14,6,14,2025,MINNESOTA,CHAMPLIN,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,NEW YORK TIMES,NATIONAL,YES,"ON 14 JUNE 2025, A MAN, IMPERSONATING A POLICE OFFICER, SHOT AND WOUNDED STATE SENATOR JOHN A. HOFFMAN (DFL) AND HIS WIFE IN CHAMPLIN (MINNESOTA) IN A TARGETED ATTACK. THE PERPETRATOR KNOCKED ON THE DOOR CLAIMING TO BE A POLICE OFFICER. WHEN THE HOFFMANS OPENED THE DOOR, THE PERPETRATOR SHOT THE COUPLE REPEATEDLY. THE MAN ALSO SHOT AND KILLED US STATE REPRESENTATIVE MELISSA HORTMAN (D) AND HER HUSBAND IN THEIR HOME IN BROOKLYN PARK LATER ON THE SAME DAY (CODED SEPARATELY). THE PERPETRATOR ALSO TRAVELLED TO TWO OTHER STATE LEVEL ELECTED OFFICIALS' HOMES BUT DID NOT MAKE CONTACT WITH THEM. POLICE RETRIEVED FROM THE SUSPECT'S VEHICLE A LIST OF ABOUT 70 OTHER LAWMAKERS, AND COMMUNITY LEADERS, AND THEIR HOME ADDRESSES AND PAMPHLETS REFERENCING THE NO KINGS PROTESTS OCCURRING NATIONWIDE ON THE SAME DAY. HE HAS BEEN CHARGED WITH TWO COUNTS OF SECOND-DEGREE MURDER AND TWO COUNTS OF ATTEMPTED SECOND-DEGREE MURDER. NO FATALITIES."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2025-07-19,7,19,2025,MINNESOTA,ELK RIVER,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,HOMETOWN SOURCE,SUBNATIONAL,NO,"ON 19 JULY 2025, A 51-YEAR-OLD MAN WIELDING A SHOTGUN AND MACHETE SHOT THE SHERBURNE COUNTY GOVERNMENT CENTER'S WINDOWS AND THEN ENTERED THE BUILDING IN ELK RIVER (MINNESOTA), WHERE HE CONTINUED SHOOTING AT THE BUILDING FACILITIES. ONCE INSIDE THE BUILDING, THE MAN ATTEMPTED TO ENTER ITS COURT WING, BUT ALL THE DOORS WERE LOCKED, SO HE LEFT THE BUILDING. THE MAN ALSO SHOT AT A DETACHED MAINTENANCE BUILDING THAT WAS PART OF THE GOVERNMENT CENTER. ONCE OUTSIDE, THE MAN BASHED THE EXTERIOR OF SEVERAL OCCUPIED CARS, INCLUDING SHERBURN COUNTY VANS AND THE VEHICLES OF PRIVATE INDIVIDUALS, WITH THE BUTT OF HIS GUN AND SLASHED CAR TIRES WITH HIS MACHETE. THE MAN ALSO ATTEMPTED TO ATTACK PEOPLE IN THE PARKING LOT, SLASHING AT THEM WITH HIS MACHETE. POLICE ARRESTED THE PERPETRATOR WITHOUT INCIDENT. THE MOTIVE IS UNKNOWN. NO FATALITIES."
RIOTS,ASSAULT,2022-02-09,2,9,2022,NEW YORK,NEW YORK - MANHATTAN,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,"ANTI-GOVERNMENT, ANTI-ASIAN",ABC NEWS,NATIONAL,YES,"ON 9 FEBRUARY 2022, A MAN APPROACHED A DIPLOMAT FROM SOUTH KOREA'S PERMANENT REPRESENTATION TO THE UN IN MIDTOWN NEW YORK - MANHATTAN (NEW YORK) AND PUNCHED HIM IN THE FACE IN WHAT POLICE DESCRIBED AS AN 'UNPROVOKED ATTACK.' THE DIPLOMAT WAS BRIEFLY HOSPITALIZED FOR COMPLAINTS OF PAIN. NO ARRESTS WERE MADE IMMEDIATELY AFTER THE ATTACK."
RIOTS,ASSAULT,2022-06-18,6,18,2022,KENTUCKY,LOUISVILLE,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,WASHINGTON POST,NATIONAL,YES,"ON 18 JUNE 2022, A MAN WALKED UP AND PUNCHED LOUISVILLE MAYOR GREG FISCHER (D) AT THE FOURTH STREET LIVE RETAIL COMPLEX IN DOWNTOWN LOUISVILLE (KENTUCKY) CAUSING HIM TO FALL BACKWARD ONTO THE GROUND. THE ATTACKER WALKED AWAY FROM THE SCENE. THE MAYOR SUSTAINED MINOR INJURIES."
RIOTS,ASSAULT,2022-10-25,10,25,2022,CALIFORNIA,ANTIOCH,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,"ANTI-GOVERNMENT, ANTI-BLACK",LOS ANGELES TIMES; NBC BAY AREA,SUBNATIONAL,NO,"ON 25 OCTOBER 2022, A MAN PUNCHED ANTIOCH MAYOR LAMAR THORPE (D) IN THE CHEST AFTER HE GAVE A SPEECH AT THE CHAMBER OF COMMERCE IN ANTIOCH (CALIFORNIA). THORPE, WHO IS BLACK, STATED THAT THE PERPETRATOR, WHO IS WHITE, CONFRONTED HIM AFTER THE EVENT AND ENGAGED IN A 'HEATED DISCUSSION' WITH'RACIAL UNDERTONES,' AND THEN PUNCHED HIM IN THE CHEST. THORPE ALSO SAID THE MAN HAD LED AN UNSUCCESSFUL RECALL CAMPAIGN AGAINST HIM."
RIOTS,ASSAULT,2022-10-31,10,31,2022,PENNSYLVANIA,UNIONTOWN,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,VICE,INTERNATIONAL,NO,"ON 31 OCTOBER 2022, RICHARD RINGER, WHO IS RUNNING FOR THE PENNSYLVANIA STATE HOUSE AS A DEMOCRAT, SAID HE WAS ATTACKED AND KNOCKED UNCONSCIOUS IN HIS HOME IN NORTH UNION TOWNSHIP NEAR UNIONTOWN (PENNSYLVANIA). RINGER SAID HE SAW SOMEONE TRYING TO OPEN HIS GARAGE DOOR LATE AT NIGHT, SO HE LEFT HIS HOUSE TO CONFRONT THE UNKNOWN PERSON. RINGER SAID THAT HE THEN TACKLED THE PERSON, LEADING TO A FIGHT DURING WHICH RINGER WAS HIT ON THE HEAD 'ABOUT TEN TIMES.' THE CANDIDATE HAD PREVIOUSLY HAD A THREATENING MESSAGE GRAFFITIED ON HIS HOME'S GARAGE DOOR AND SAID ITS WINDOWS HAD BEEN BROKEN WITH A BRICK IN ANOTHER INCIDENT."
RIOTS,ASSAULT,2022-12-09,12,9,2022,CALIFORNIA,LOS ANGELES - EASTSIDE,0,NO,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,LOS ANGELES TIMES; MY NEWS LA; TWITTER,NEW MEDIA-SUBNATIONAL,NO,"ON 9 DECEMBER 2022, LOS ANGELES CITY COUNCILMEMBER KEVIN DE LEON (D) GOT IN AN ALTERCATION WITH ANOTHER MAN AT A HOLIDAY EVENT IN LINCOLN PARK IN LOS ANGELES - EASTSIDE (CALIFORNIA). THE MAN WAS A MEMBER OF THE GROUP PEOPLE'S CITY COUNCIL AND WAS CONFRONTING DE LEON TO DEMAND HE RESIGN AFTER HE WAS RECORDED PARTICIPATING IN A CONVERSATION WHEREIN FORMER COUNCIL PRESIDENT NURY MARTINEZ MADE SEVERAL RACIST COMMENTS. THE MAN WAS ACCOMPANIED BY FIVE OR SIX OTHER MEMBERS OF HIS GROUP. THE MEN GOT INTO A PHYSICAL ALTERCATION AFTER THE DEMONSTRATORS CONFRONTED THE COUNCILMEMBER. BOTH SIDES CLAIM THE OTHER INITIATED AND ESCALATED THE ALTERCATION."
RIOTS,ASSAULT,2023-05-13,5,13,2023,MINNESOTA,MINNEAPOLIS,0,NO,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,STAR TRIBUNE (MINNEAPOLIS),SUBNATIONAL,NO,"ON 13 MAY 2023, ATTENDEES SUPPORTING NASRI WARSAME STORMED THE STAGE OF MINNEAPOLIS 10TH WARD DFL CONVENTION AT THE ELLA BAKER GLOBAL STUDIES & HUMANITIES MAGNET SCHOOL IN MINNEAPOLIS (MINNESOTA) TO EXPRESS OPPOSITION TO POOR TRANSLATIONS FOR SOMALI-SPEAKING ATTENDEES AND WHAT THEY CLAIM IS BIAS FROM THE CONVENTION TOWARDS A DIFFERENT CITY COUNCIL CANDIDATE, AISHA CHUGHTAI. CHUGHTAI AND HER SUPPORTERS HAD THE STAGE AT THE TIME OF THE STORMING. SCUFFLES OCCURRED ON THE CONVENTION FLOOR BETWEEN SUPPORTERS OF THE TWO CANDIDATES AND SEVERAL INJURIES WERE REPORTED, BUT NO FATALITIES OR ARRESTS. WARSAME IS A DFL MINNEAPOLIS CITY COUNCIL CANDIDATE WHILE CHUGHTAI IS THE INCUMBENT DFL MINNEAPOLIS CITY COUNCIL MEMBER."
RIOTS,ASSAULT,2025-06-12,6,12,2025,NEBRASKA,OMAHA,0,NO,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,NBC NEBRASKA 2,SUBNATIONAL,NO,"ON 12 JUNE 2025, FOUR PEOPLE DAMAGED AN ICE FACILITY AND ASSAULTED ICE AGENTS IN OMAHA (NEBRASKA). ICE AGENTS ARRESTED ALL FOUR PEOPLE ON ALLEGATIONS OF DAMAGING FEDERAL PROPERTY AND THREATENING TO ASSAULT FEDERAL AGENTS, WITH THE INDIVIDUALS EXPECTED TO FACE FELONY CHARGES FOR PROPERTY DAMAGE AS WELL AS FOR ASSAULTING, RESISTING, OR INTERFERING WITH FEDERAL OFFICERS IN THE PERFORMANCE OF THEIR OFFICIAL DUTIES."
PROTESTS,VEHICLE,2020-12-11,12,11,2020,NEW YORK,NEW YORK - MANHATTAN,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,BERGEN RECORD; USA TODAY,NATIONAL,YES,"ON 11 DECEMBER 2020, PEOPLE PROTESTED IN NEW YORK - MANHATTAN (NEW YORK) TO INCREASE PUBLIC AWARENESS AND IN SOLIDARITY WITH IMMIGRATION AND CUSTOMS ENFORCEMENT (ICE) DETAINEES ON HUNGER STRIKE AGAINST LIVING CONDITIONS AMID THE CORONAVIRUS IN BERGEN COUNTY JAIL IN NEW JERSEY. ONE PROTESTER WAS ARRESTED AFTER FIVE POLICE OFFICERS SHOVED HIM INTO BARRICADES. WHILE PROTESTERS WERE IN THE STREET DURING THE PROTEST, A CAR RAMMED THROUGH THE GROUP AND INJURED SIX PEOPLE. ALL SIX WERE TAKEN TO THE HOSPITAL BUT DID NOT HAVE LIFE THREATENING INJURIES. THE DRIVER WAS ARRESTED ON RECKLESS ENDANGERMENT CHARGES."
PROTESTS,VEHICLE,2021-05-01,5,1,2021,OREGON,PORTLAND,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,POLITICAL RESEARCH ASSOCIATES; TWITTER,OTHER-NEW MEDIA,NO,"ON 1 MAY 2021, A DRIVER DROVE THROUGH A DEMONSTRATION AGAINST ICE AND ATTEMPTED TO HIT DEMONSTRATORS IN PORTLAND (OREGON) IN ORDER TO ENTER A PARKING DECK. DEMONSTRATORS MANAGED TO LARGELY AVOID BEING HIT AND NO SERIOUS INJURIES WERE REPORTED."
PROTESTS,ASSAULT,2021-09-12,9,12,2021,CALIFORNIA,SAN RAFAEL,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,ABC7 (SAN FRANCISCO),SUBNATIONAL,NO,"ON 12 SEPTEMBER 2021, PEOPLE HELD A RECALL NEWSOM RALLY IN SAN RAFAEL (CALIFORNIA) IN SUPPORT OF RECALLING GOVERNOR GAVIN NEWSOM. A DEMONSTRATOR WAS ASSAULTED BY AN UNIDENTIFIED INDIVIDUAL, AFTER THEY STARTED TO ARGUE. THE VICTIM HAD A FRACTURE IN THE HEAD AND A BROKEN JAW."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2022-12-04,12,4,2022,NEW MEXICO,ALBUQUERQUE,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,CNN; KOAT7; KOB4; WASHINGTON POST,SUBNATIONAL-NATIONAL,YES,"ON 4 DECEMBER 2022, A PERSON SHOT EIGHT ROUNDS INTO THE HOME OF BERNALILLO COUNTY COMMISSIONER ADRIANN BARBOA (D) IN ALBUQUERQUE (NEW MEXICO). THERE WERE NO REPORTED INJURIES. THIS INCIDENT WAS FOLLOWED BY SEVERAL OTHER INSTANCES IN WHICH THE HOMES OR OFFICES OF DEMOCRATIC GOVERNMENT OFFICIALS IN NEW MEXICO WERE SHOT AT IN DECEMBER 2022 AND JANUARY 2023. ON 16 JANUARY 2023, POLICE ARRESTED A FORMER REPUBLICAN CANDIDATE FOR NEW MEXICO'S STATE LEGISLATURE, SOLOMON PENA, AND CHARGED HIM WITH ORCHESTRATING THE SHOOTINGS, ON 4, 8, AND 11 DECEMBER AS WELL AS THE SHOOTING ON 3 JANUARY, CALLING HIM THE 'MASTERMIND' BEHIND THESE SHOOTINGS. POLICE ALSO SAID HE CONSPIRED WITH FOUR OTHER MEN TO CARRY OUT THE SHOOTINGS, AND THAT HE HAD PERSONALLY PARTICIPATED IN A 3 JANUARY SHOOTING AT THE HOME OF STATE SENATOR LINDA LOPEZ. THE FORMER CANDIDATE CLAIMED WITHOUT EVIDENCE THAT ELECTION FRAUD HAD TAKEN PLACE IN THE 2022 ELECTIONS. ON 31 MAY 2023, PENA WAS INDICTED ON FEDERAL CHARGES OF CONSPIRACY, INTERFERENCE WITH ELECTIONS, AND FIREARM OFFENSES INCLUDING USING A MACHINE GUN."
EXPLOSIONS/REMOTE VIOLENCE,BOMB,2020-11-07,11,7,2020,TEXAS,SAN ANTONIO,0,YES,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,ANTI-GOVERNMENT,ABC ACTION NEWS; TWITTER,NEW MEDIA-NATIONAL,NO,"ON 7 NOVEMBER 2020, AN INDIVIDUAL SET OFF AN EXPLOSIVE BY A STATUE OF VLADIMIR LENIN AND MAO ZEDONG OUTSIDE OF TEXAS PUBLIC RADIO HEADQUARTERS IN SAN ANTONIO (TEXAS), DAMAGING BOTH. VIDEO FOOTAGE SHOWED A MAN PLANTING AND THEN DETONATING THE DEVICE. THE STATUTES ARE NOT ON TPR PROPERTY. THE FBI HAVE LAUNCHED AN INVESTIGATION."
EXPLOSIONS/REMOTE VIOLENCE,BOMB,2022-07-04,7,4,2022,NORTH CAROLINA,ASHEVILLE,0,NO,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,NETWORK CONTAGION RESEARCH INSTITUTE; WYFF4,LOCAL PARTNER-NATIONAL,NO,"ON 4 JULY 2022, TWO MEN SET OFF 'IEDS SIMILAR TO PIPE BOMBS' AT PACK SQUARE AT THE SITE OF THE FORMER VANCE MONUMENT IN ASHEVILLE (NORTH CAROLINA) AS PEOPLE WERE LEAVING THE INDEPENDENCE DAY CELEBRATION. ONE OF THE MEN WAS OVERHEARD SAYING THAT 'HE WAS GOING TO BLOW UP WHAT REMAINS OF THE MONUMENT.' THE MEN WERE ARRESTED AND CHARGED WITH POSSESSING A WEAPON OF MASS DESTRUCTION AND GOING ARMED TO THE TERROR OF THE PUBLIC. POLICE ALSO FOUND ITEMS SUCH AS ZIP-TIE HANDCUFFS, A GAS MASK, A BALLISTIC VEST, AND A PISTOL WITH AMMUNITION, AMONG OTHER THINGS, WHICH BELONGED TO THE MEN. THERE WERE NO INJURIES OR FATALITIES."
RIOTS,OTHER WEAPON,2021-11-03,11,3,2021,FLORIDA,PALM BAY,0,NO,NO,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,HUFFPOST,INTERNATIONAL,NO,"ON 3 NOVEMBER 2021, TWO MEN HIT JOURNALIST AND FORMER CAMPAIGN MANAGER ROBERT BURNS OVER THE HEAD WITH A HEAVY OBJECT AT TURKEY CREEK SANCTUARY IN PALM BAY (FLORIDA) IN CONNECTION WITH ALLEGATIONS OF ABUSE AND SEXUAL ASSAULT AGAINST BURNS THAT WERE FURTHER SPREAD BY FLORIDA STATE REPRESENTATIVE RANDY FINE (R), THE POLITICIAN WHO BURNS RAN A CAMPAIGN AGAINST. A PALM BAY POLICE DEPARTMENT INVESTIGATION IS ONGOING."
RIOTS,ASSAULT,2020-09-02,9,2,2020,FLORIDA,SAINT AUGUSTINE,0,NO,YES,NO,PUBLIC FIGURES/INSTITUTIONS/GOVERNMENT,OTHER,CROWD COUNTING CONSORTIUM; FIRST COAST NEWS,OTHER-SUBNATIONAL,NO,"AROUND 2 SEPTEMBER 2020 (WEEK OF), A GROUP OF PEOPLE ASSAULTED THE OWNER OF A CONSTRUCTION COMPANY IN SAINT AUGUSTINE (FLORIDA) WHILE A GROUP OF CONSTRUCTION WORKERS REMOVED A CONFEDERATE STATUE."
BATTLES,SHOOTING,2020-06-29,6,29,2020,WASHINGTON,SEATTLE,1,NO,YES,YES,RACIAL JUSTICE/POLICE BRUTALITY/BLM,ANTI-GOVERNMENT,NEW YORK POST,NATIONAL,YES,"ON 29 JUNE 2020, IN THE 'CAPITOL HILL ORGANIZED PROTEST' OR 'CHOP', A SELF-DECLARED 'AUTONOMOUS ZONE' IN SEATTLE (WASHINGTON), A TEEN WAS KILLED AND ANOTHER INJURED AFTER THEY DROVE A JEEP INTO THE AREA AFTER HAVING STOLEN IT A KNIFE POINT. THE TWO BELIEVED THEY WOULD BE SAFE INSIDE CHOP, BUT WERE FIRED UPON WHEN THEY ENTERED. ACCORDING TO A FRIEND WHO WAS ON THE PHONE WITH THE TEENS AS THEY DROVE, A CAR WITH 'SECURITY' MARKED ON THE SIDE FOLLOWED THEM. IT'S NOT CLEAR WHO EXACTLY SHOT AT THEM. 1 FATALITY."
RIOTS,ASSAULT,2020-07-04,7,4,2020,INDIANA,LAKE MONROE,0,NO,YES,NO,RACIAL JUSTICE/POLICE BRUTALITY/BLM,ANTI-BLACK,CNN; BLOOMINGTONIAN,SUBNATIONAL-NATIONAL,YES,"ON 4 JULY 2020, AN AFRICAN AMERICAN MAN WAS REPORTEDLY HARASSED AND ATTACKED BY FIVE WHITE MEN WHEN HE VISITED A PUBLIC PARK AT LAKE MONROE (INDIANA), SOUTH OF BLOOMINGTON. ACCORDING TO THE VICTIM, HE WAS PUSHED TO THE GROUND AND THEN PINNED AGAINST A TREE, WITH THE ATTACKERS POUNDING ON HIS HEAD AND RIPPING HIS HAIR. ONE OF THE WHITE MEN ALLEGEDLY SAID 'LET'S GET A NOOSE AND TAKE CARE OF THIS BOY'. THE FBI IS INVESTIGATING THE CASE."
